CaseID,CompleteTimestamp,ActivityID,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 DeltaP,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 1 Inlet Pressure,Filter 2 DeltaP,Filter 2 DeltaP,Filter 2 DeltaP,Filter 2 DeltaP,Filter 2 DeltaP,Pump Circulation Flow,Pump Circulation Flow,Pump Circulation Flow,Pump Circulation Flow,Pump Circulation Flow,Tank Pressure,Tank Pressure,Tank Pressure,Tank Pressure,Tank Pressure,time_idx
,,,mean,min,max,std,sum,mean,min,max,std,sum,mean,min,max,std,sum,mean,min,max,std,sum,mean,min,max,std,sum,
20K12001E,2020-10-14 18:33:00,"['Pump start', 'Start adjustment']",0.11548208380290119,-0.008344457997009117,0.5379413038492202,0.1395609065297661,36.83878473312548,1.010267074341334,0.0042735487222671,2.61943888664246,0.9890261788624956,322.27519671488557,0.4016730830268933,-0.0020548648565939295,2.61948013305664,0.587028225368968,128.13371348557897,82.81363066864638,0.0,283.16504974365245,86.81086241275584,26417.548183298197,0.9339134580895583,-0.5976419925689698,2.210796590646108,1.1305855936236662,297.9183931305691,0
20K12001E,2020-10-14 18:34:00,['Start adjustment'],0.34847434808810546,0.34847434808810546,0.34847434808810546,,0.34847434808810546,2.194069437185923,2.194069437185923,2.194069437185923,,2.194069437185923,0.8757600824038188,0.8757600824038188,0.8757600824038188,,0.8757600824038188,208.78273289998378,208.78273289998378,208.78273289998378,,208.78273289998378,0.02955540670081974,0.02955540670081974,0.02955540670081974,,0.02955540670081974,1
20K12001E,2020-10-14 18:43:00,['Start adjustment'],0.2972203493118286,0.2415771116813024,0.3433808073401451,0.04464749278901665,2.6749831438064575,2.1253646448806482,2.030467180411022,2.178691716988881,0.059348979800651284,19.128281803925834,0.8370270846066652,0.7172320902347564,0.8738099018732707,0.056746233121717074,7.533243761459986,209.65303319295248,203.0929138183594,232.4226689656576,9.990657834210193,1886.8772987365724,0.02885970748547051,0.02861356822152932,0.029105846708019578,0.00016852001409791096,0.2597373673692346,2
20K12001E,2020-10-15 06:37:00,['Pump stop'],0.22566279570452946,0.05334042695661385,0.24413419365882869,0.007274708873581997,161.12323613303403,1.7590806294103907,0.727261161307494,1.972768340508143,0.042883270007888795,1255.983569399019,0.5449242620427166,0.1601084553947051,0.6676296641429266,0.017776954699279472,389.07592309849963,233.47073070931742,69.98867255859076,240.17913767496748,6.246525259523099,166698.10172645265,0.02291045664692261,0.00055468318120494,0.02855203341071805,0.0030582928373233255,16.358066045902742,3
20K12001E,2020-10-15 07:55:00,['Pump start'],0.020364071333168712,-0.02352123881379763,0.3113523224989573,0.05846346918226311,1.5883975639871595,0.46677697519652345,0.15817816133300464,2.3088065703709924,0.6081972512232346,36.40860406532883,0.05258531032275734,-0.0019832304775869616,1.18088488082091,0.1834449838922793,4.101654205175072,52.89200034011634,0.0,269.43659744262703,83.84472623363021,4125.576026529075,0.5591446845830098,-0.6031241595745087,2.2022008180618284,1.0333031741174354,43.61328539747477,4
20K12001E,2020-10-15 07:56:00,['Start adjustment'],0.20097232659657796,0.20097232659657796,0.20097232659657796,,0.20097232659657796,1.5568865994612375,1.5568865994612375,1.5568865994612375,,1.5568865994612375,0.4915469611684482,0.4915469611684482,0.4915469611684482,,0.4915469611684482,203.18741785685222,203.18741785685222,203.18741785685222,,203.18741785685222,0.024963279223690425,0.024963279223690425,0.024963279223690425,,0.024963279223690425,5
20K12001E,2020-10-15 07:57:00,['Start adjustment'],0.2502637935181459,0.2502637935181459,0.2502637935181459,,0.2502637935181459,1.8397444923718758,1.8397444923718758,1.8397444923718758,,1.8397444923718758,0.5819873283306758,0.5819873283306758,0.5819873283306758,,0.5819873283306758,242.25470097859707,242.25470097859707,242.25470097859707,,242.25470097859707,0.02687964861591657,0.02687964861591657,0.02687964861591657,,0.02687964861591657,6
20K12001E,2020-10-15 12:49:00,['Pump stop'],0.2236915742862902,0.12040542275062766,0.25478996137777965,0.007336068796074244,65.31793969159673,1.7166233259214931,1.0771992435057958,1.9201754748821258,0.046603624439665786,501.254011169076,0.5382915161515491,0.2994093169613432,0.6015992830197017,0.01668073157019355,157.18112271625233,231.24929635994923,129.29720942775413,249.49075851440435,6.507505983857544,67524.79453710518,0.012836115810537027,-0.008154957058529016,0.027188620312760273,0.0056551326588750814,3.748145816676812,7
20K12001E,2020-10-15 17:58:00,['Pump start'],-0.013484216228588135,-0.02128090678403775,-0.01078842293160657,0.002436758875780291,-0.41801070308623217,0.3779553675363141,0.3004142423470816,0.3937610849738122,0.02314648001776474,11.716616393625737,0.005155173412638719,-0.00174496640102002,0.012996753662203752,0.004269274561992433,0.1598103757918003,0.0,0.0,0.0,0.0,0.0,0.021426532272329577,0.019715145851175002,0.023018099895368023,0.0009896284135663671,0.6642225004422169,8
20K12001E,2020-10-16 11:29:00,['Pump start'],0.001148370307838228,-0.017895814900596937,0.38496022572120026,0.015996910281543358,1.56178361865999,0.03839229661778989,0.0002206099172325983,2.313825619220734,0.18739627539842807,52.21352340019425,0.004219597134816962,-0.0042735040187835,1.3841858665148419,0.07812219685525838,5.738652103351068,12.625846068567542,0.0,282.67260665893554,44.73047890565061,3396.352592444669,0.06578061786571145,-0.5749639848868052,2.2224069873491925,0.30146332326152714,89.46164029736757,9
