CaseID,CompleteTimestamp,Vessel,ActivityID,lifecycle:transition,event_id
21B18001E,2021-02-23 03:50:52.898,R602,Pump adjustment,complete,41
21B18001E,2021-02-23 03:59:32.366,R602,Pump adjustment,complete,42
21B18001E,2021-02-23 03:59:35.932,R602,Pump adjustment,complete,43
21B12001E,2021-02-23 10:28:16.370,R502,Pump stop,complete,77
21B12001E,2021-02-23 10:38:28.287,R502,Pump adjustment,complete,78
21B21001E,2021-02-23 10:41:58.000,R601,Filters,start,0
21B12001E,2021-02-23 10:45:15.000,R502,Bottling,complete,79
21B12001E,2021-02-23 10:57:21.718,R502,Pump stop,complete,80
21B21001E,2021-02-23 11:05:37.000,R601,Filters,complete,1
21B17001E,2021-02-23 12:00:54.000,R501,Charging,start,22
21B12001E,2021-02-23 12:54:12.430,R502,Pump adjustment,complete,81
21B12001E,2021-02-23 13:02:37.462,R502,Pump stop,complete,82
21B12001E,2021-02-23 13:02:45.399,R502,Pump adjustment,complete,83
21B12001E,2021-02-23 13:02:49.948,R502,Pump start,complete,84
21B12001E,2021-02-23 13:05:45.188,R502,Pump adjustment,complete,85
21B12001E,2021-02-23 13:06:06.230,R502,Pump adjustment,complete,86
21B12001E,2021-02-23 13:06:39.394,R502,Pump adjustment,complete,87
21B12001E,2021-02-23 13:39:26.000,R502,Postwash,start,88
21B21001E,2021-02-23 14:51:25.000,R601,1Pass_Prewet,start,2
21B17001E,2021-02-23 14:53:26.129,R501,Agitator start,complete,23
21B17001E,2021-02-23 14:54:05.000,R501,Charging,complete,24
21B17001E,2021-02-23 14:58:19.000,R501,Agitation,start,25
21B17001E,2021-02-23 15:58:49.837,R501,Pump adjustment,complete,26
21B17001E,2021-02-23 16:09:23.434,R501,Pump adjustment,complete,27
21B17001E,2021-02-23 16:09:28.030,R501,Pump start,complete,28
21B17001E,2021-02-23 16:11:13.160,R501,Pump adjustment,complete,29
21B17001E,2021-02-23 16:11:27.548,R501,Pump adjustment,complete,30
21B17001E,2021-02-23 16:13:03.274,R501,Pump adjustment,complete,31
21B17001E,2021-02-23 16:14:48.321,R501,Pump stop,complete,32
21B17001E,2021-02-23 16:16:53.910,R501,Pump adjustment,complete,33
21B17001E,2021-02-23 16:16:57.806,R501,Pump start,complete,34
21B17001E,2021-02-23 16:17:20.702,R501,Pump adjustment,complete,35
21B17001E,2021-02-23 16:19:40.322,R501,Pump stop,complete,36
21B17001E,2021-02-23 16:21:05.833,R501,Pump adjustment,complete,37
21B17001E,2021-02-23 16:21:10.631,R501,Pump start,complete,38
21B17001E,2021-02-23 16:22:13.941,R501,Pump adjustment,complete,39
21B17001E,2021-02-23 16:22:26.491,R501,Pump adjustment,complete,40
21B17001E,2021-02-23 16:23:14.000,R501,Circulation,start,41
21B17001E,2021-02-23 16:24:34.212,R501,Pump adjustment,complete,42
21B21001E,2021-02-23 16:32:26.000,R601,1Pass_Prewet,complete,3
21B21001E,2021-02-23 16:37:06.000,R601,Circulation Prewet,start,4
21B21001E,2021-02-23 16:42:26.843,R601,Pump adjustment,complete,5
21B21001E,2021-02-23 16:49:14.992,R601,Pump stop,complete,6
21B21001E,2021-02-23 16:49:19.477,R601,Pump adjustment,complete,7
21B21001E,2021-02-23 16:49:28.099,R601,Pump start,complete,8
21B21001E,2021-02-23 16:50:43.289,R601,Pump adjustment,complete,9
21B21001E,2021-02-23 16:52:06.920,R601,Pump adjustment,complete,10
21B12001E,2021-02-23 18:01:08.458,R502,Pump stop,complete,89
21B21001E,2021-02-23 18:08:01.732,R601,Pump stop,complete,11
21B21001E,2021-02-23 18:20:35.826,R601,Pump adjustment,complete,12
21B21001E,2021-02-23 18:31:33.216,R601,Pump stop,complete,13
21B21001E,2021-02-23 18:32:44.000,R601,Circulation Prewet,complete,14
21B12001E,2021-02-23 18:33:20.528,R502,Pump adjustment,complete,90
21B12001E,2021-02-23 18:54:48.541,R502,Pump adjustment,complete,91
21B17001E,2021-02-23 19:05:59.881,R501,Pump adjustment,complete,43
21B17001E,2021-02-23 19:06:28.443,R501,Pump adjustment,complete,44
21B17001E,2021-02-23 19:06:37.090,R501,Pump adjustment,complete,45
21B17001E,2021-02-23 19:07:03.794,R501,Pump adjustment,complete,46
21B17001E,2021-02-23 19:07:41.964,R501,Pump adjustment,complete,47
21B17001E,2021-02-23 19:08:05.449,R501,Pump adjustment,complete,48
21B17001E,2021-02-23 19:17:45.446,R501,Pump adjustment,complete,49
21B12001E,2021-02-23 19:23:55.833,R502,Pump stop,complete,92
21B12001E,2021-02-23 19:24:01.779,R502,Pump adjustment,complete,93
21B12001E,2021-02-23 19:24:07.634,R502,Pump start,complete,94
21B12001E,2021-02-23 19:24:19.901,R502,Pump adjustment,complete,95
21B12001E,2021-02-23 19:26:04.861,R502,Pump adjustment,complete,96
21B12001E,2021-02-23 19:26:10.309,R502,Pump adjustment,complete,97
21B18001E,2021-02-24 05:11:00.000,R602,Bottling,start,44
21B18001E,2021-02-24 06:33:48.000,R602,Circulation,complete,45
21B12001E,2021-02-24 07:17:47.208,R502,Pump stop,complete,98
21B21001E,2021-02-24 07:23:13.000,R601,Charging,start,15
21B21001E,2021-02-24 08:41:37.000,R601,Charging,complete,16
21B21001E,2021-02-24 08:43:04.230,R601,Agitator start,complete,17
21B21001E,2021-02-24 08:44:14.000,R601,Agitation,start,18
21B12001E,2021-02-24 09:27:51.100,R502,Pump adjustment,complete,99
21B12001E,2021-02-24 09:48:00.321,R502,Pump stop,complete,100
21B21001E,2021-02-24 09:59:31.204,R601,Pump adjustment,complete,19
21B21001E,2021-02-24 10:08:17.577,R601,Pump stop,complete,20
21B21001E,2021-02-24 10:18:00.156,R601,Pump adjustment,complete,21
21B21001E,2021-02-24 10:18:15.208,R601,Pump start,complete,22
21B21001E,2021-02-24 10:19:02.917,R601,Pump adjustment,complete,23
21B21001E,2021-02-24 10:19:51.688,R601,Pump adjustment,complete,24
21B21001E,2021-02-24 10:20:45.780,R601,Pump adjustment,complete,25
21B21001E,2021-02-24 10:21:42.743,R601,Pump stop,complete,26
