CaseID,CompleteTimestamp,Vessel,ActivityID,lifecycle:transition,event_id
21B21001E,2021-03-04 07:56:07.600,R601,Pump stop,complete,91
21B21001E,2021-03-04 08:07:08.719,R601,Pump adjustment,complete,92
21B21001E,2021-03-04 08:21:18.134,R601,Pump stop,complete,93
21B21001E,2021-03-04 08:33:24.000,R601,Postwash,complete,94
21C03001E,2021-03-04 09:57:58.000,R601,Filters,start,0
21C03001E,2021-03-04 10:16:30.000,R601,1Pass_Prewet,start,1
21C03001E,2021-03-04 10:42:14.000,R601,Filters,complete,2
21B24001E,2021-03-04 11:15:06.843,R501,Pump adjustment,complete,49
21B24001E,2021-03-04 11:15:10.794,R501,Pump start,complete,50
21B24001E,2021-03-04 11:15:53.055,R501,Pump adjustment,complete,51
21B24001E,2021-03-04 11:15:56.889,R501,Pump adjustment,complete,52
21B24001E,2021-03-04 11:16:02.439,R501,Pump adjustment,complete,53
21B24001E,2021-03-04 11:16:08.899,R501,Pump adjustment,complete,54
21B24001E,2021-03-04 11:21:10.580,R501,Pump adjustment,complete,55
21B24001E,2021-03-04 11:33:37.084,R501,Pump adjustment,complete,56
21B26001E,2021-03-04 12:20:47.000,R602,Adjustment Charging,start,21
21B26001E,2021-03-04 12:27:09.000,R602,Adjustment Charging,complete,22
