CaseID,ActivityID,CompleteTimestamp
0,23,2020-10-14 18:02:51
0,29,2020-10-14 18:32:52
0,13,2020-10-14 18:32:53
0,38,2020-10-14 19:02:52
0,26,2020-10-14 19:02:52
0,50,2020-10-14 19:25:21
0,48,2020-10-14 19:47:51
0,49,2020-10-14 20:02:51
0,45,2020-10-14 20:47:51
0,39,2020-10-14 21:10:21
0,45,2020-10-14 21:32:51
0,36,2020-10-14 21:40:21
0,49,2020-10-14 22:02:51
0,49,2020-10-14 22:32:51
0,27,2020-10-14 22:32:51
0,49,2020-10-14 23:17:51
0,39,2020-10-15 00:17:51
0,48,2020-10-15 00:32:51
0,39,2020-10-15 01:02:51
0,36,2020-10-15 02:32:51
0,27,2020-10-15 03:17:51
0,49,2020-10-15 03:32:51
0,39,2020-10-15 05:02:51
0,36,2020-10-15 05:02:51
0,49,2020-10-15 06:37:10
0,14,2020-10-15 06:37:11
0,13,2020-10-15 07:55:13
0,38,2020-10-15 08:25:12
0,26,2020-10-15 08:25:12
0,50,2020-10-15 08:40:11
0,45,2020-10-15 09:47:41
0,39,2020-10-15 10:40:11
0,45,2020-10-15 11:40:11
0,48,2020-10-15 12:49:26
0,14,2020-10-15 12:49:27
0,13,2020-10-16 11:29:10
0,50,2020-10-16 11:59:09
0,38,2020-10-16 11:59:09
0,26,2020-10-16 12:09:15
0,14,2020-10-16 13:19:56
0,13,2020-10-19 13:09:49
0,14,2020-10-19 13:11:14
1,9,2020-10-15 10:22:04
1,0,2020-10-15 15:46:36
1,28,2020-10-15 17:57:34
1,13,2020-10-15 17:57:35
1,38,2020-10-15 18:27:34
1,26,2020-10-15 18:27:34
1,50,2020-10-15 18:35:03
1,12,2020-10-15 18:53:13
1,39,2020-10-15 19:12:33
1,44,2020-10-15 19:27:33
1,33,2020-10-15 19:57:33
1,39,2020-10-15 20:20:03
1,49,2020-10-15 20:35:03
1,39,2020-10-15 20:57:33
1,45,2020-10-15 21:20:03
1,39,2020-10-15 23:50:03
1,48,2020-10-16 00:05:03
1,39,2020-10-16 00:27:33
1,25,2020-10-16 01:27:33
1,37,2020-10-16 02:12:33
1,49,2020-10-16 02:42:33
1,39,2020-10-16 03:27:33
1,36,2020-10-16 04:05:03
1,49,2020-10-16 04:20:03
1,39,2020-10-16 05:42:33
1,48,2020-10-16 05:57:33
1,44,2020-10-16 06:20:03
1,49,2020-10-16 06:43:34
1,14,2020-10-16 06:43:35
1,22,2020-10-16 13:09:15
1,28,2020-10-16 13:19:55
1,13,2020-10-16 13:39:17
1,38,2020-10-16 14:09:16
1,50,2020-10-16 14:09:16
1,26,2020-10-16 14:16:45
1,44,2020-10-16 14:39:15
1,44,2020-10-16 15:54:15
1,44,2020-10-16 16:31:45
1,48,2020-10-16 18:51:36
1,14,2020-10-16 18:51:37
1,8,2020-10-16 19:33:45
1,6,2020-10-19 09:27:01
1,3,2020-10-19 09:29:02
1,13,2020-10-19 11:23:25
1,26,2020-10-19 11:53:24
1,38,2020-10-19 11:53:24
1,50,2020-10-19 13:07:09
1,14,2020-10-19 13:07:10
1,13,2020-10-19 13:08:55
1,38,2020-10-19 13:38:54
1,50,2020-10-19 13:38:54
1,26,2020-10-19 13:53:53
1,49,2020-10-19 14:23:53
1,4,2020-10-19 15:17:14
1,40,2020-10-19 15:27:40
1,14,2020-10-19 15:27:41
1,1,2020-10-20 14:12:57
1,3,2020-10-20 14:16:47
1,13,2020-10-20 20:00:31
1,14,2020-10-20 20:04:22
1,20,2020-10-20 21:32:29
1,36,2020-10-20 21:47:30
1,13,2020-10-20 21:47:31
1,38,2020-10-20 22:17:30
1,50,2020-10-20 22:17:30
1,26,2020-10-20 22:39:59
1,49,2020-10-20 22:47:29
1,37,2020-10-20 22:54:59
1,46,2020-10-20 23:17:29
1,48,2020-10-20 23:47:29
1,48,2020-10-21 00:32:29
1,47,2020-10-21 00:32:29
1,34,2020-10-21 01:02:29
1,44,2020-10-21 01:47:29
1,35,2020-10-21 02:02:29
1,45,2020-10-21 02:02:29
1,46,2020-10-21 02:17:29
1,32,2020-10-21 02:32:29
1,47,2020-10-21 02:47:29
1,24,2020-10-21 03:09:59
1,44,2020-10-21 03:32:29
1,39,2020-10-21 03:47:29
1,50,2020-10-21 04:39:59
1,48,2020-10-21 04:54:59
1,39,2020-10-21 05:47:29
1,20,2020-10-21 05:47:29
1,49,2020-10-21 06:17:29
1,4,2020-10-21 06:19:43
1,2,2020-10-21 06:22:54
1,35,2020-10-21 06:32:29
1,45,2020-10-21 07:17:29
1,12,2020-10-21 07:43:34
1,34,2020-10-21 07:47:29
1,44,2020-10-21 08:32:29
1,45,2020-10-21 08:47:29
1,34,2020-10-21 09:17:29
1,46,2020-10-21 09:39:59
1,48,2020-10-21 09:47:29
1,48,2020-10-21 10:17:29
1,49,2020-10-21 10:17:29
1,37,2020-10-21 10:54:59
1,49,2020-10-21 11:09:59
1,39,2020-10-21 11:32:29
1,49,2020-10-21 11:47:29
1,36,2020-10-21 11:54:59
1,49,2020-10-21 12:09:59
1,48,2020-10-21 12:32:29
1,44,2020-10-21 13:17:29
1,48,2020-10-21 13:17:29
1,25,2020-10-21 14:17:29
1,36,2020-10-21 14:17:29
1,49,2020-10-21 14:47:29
1,39,2020-10-21 14:58:11
1,50,2020-10-21 15:32:29
1,48,2020-10-21 15:47:29
1,37,2020-10-21 15:54:59
1,48,2020-10-21 16:09:59
1,49,2020-10-21 16:17:29
1,36,2020-10-21 16:24:59
1,46,2020-10-21 16:47:29
1,39,2020-10-21 16:47:29
1,32,2020-10-21 16:58:12
1,49,2020-10-21 17:28:12
1,39,2020-10-21 17:47:29
1,22,2020-10-21 18:02:29
1,50,2020-10-21 18:17:29
1,49,2020-10-21 18:20:41
1,39,2020-10-21 19:05:41
1,50,2020-10-21 19:28:11
1,49,2020-10-21 19:50:41
1,44,2020-10-21 20:32:29
1,45,2020-10-21 20:47:29
1,24,2020-10-21 20:47:29
1,36,2020-10-21 21:20:41
1,46,2020-10-21 21:35:41
1,39,2020-10-21 22:05:41
1,27,2020-10-21 22:17:29
1,22,2020-10-21 22:17:29
1,48,2020-10-21 22:20:41
1,47,2020-10-21 23:09:59
1,39,2020-10-21 23:17:29
1,38,2020-10-21 23:28:11
1,48,2020-10-21 23:47:29
1,34,2020-10-21 23:54:59
1,47,2020-10-22 00:09:59
1,46,2020-10-22 00:20:41
1,48,2020-10-22 00:35:41
1,33,2020-10-22 01:02:29
1,49,2020-10-22 01:17:29
1,47,2020-10-22 01:47:29
1,39,2020-10-22 02:02:29
1,50,2020-10-22 02:17:29
1,48,2020-10-22 02:28:11
1,47,2020-10-22 02:50:41
1,36,2020-10-22 03:20:41
